word,frequency
사설,1
횡,1
재세,1
논란,1
잠재,1
정도,1
상생,2
방안,1
증권,13
소식,4
연속,1
대,1
유지,3
올해,5
새내기,1
주,2
절반,1
공모,1
아래,1
에코,2
프로,2
머,1
티,1
리얼,1
무한,1
성장력,1
더,3
수준,1
고배,1
대웅,1
훨훨,1
지주사,3
관련주,1
매수,6
유입,1
주목,1
증권가,3
심상,1
소문,1
초긴장,1
공매도,6
금지,2
연일,1
출렁,1
단타,1
전략,1
위험,1
빅,1
데이터,1
재테크,1
맥스,1
홀,6
방긋,2
외국인,4
거래일,1
대량,3
눈길,1
조주,1
전자,1
대표,2
이사,2
사장,2
윤,1
대통령,1
근본,1
개선,2
금,2
사랑,1
김치,1
페어,1
개최,1
다,2
투자,7
주주,7
회계,1
장부,1
열람,1
가처분,1
신청,1
오늘,3
증시,5
리포트,3
와이지,1
엔터테인먼트,1
반영,1
우려,2
국민,11
연금,11
주주권,6
행사,4
칼,2
카카오,9
키,5
움,5
정조준,2
비츠로테크,2
기세,1
조정,1
자,1
사주,2
매입,2
소각,2
나선,1
상장사,2
주가,6
상승,3
화답,1
환원,3
열,1
엘,1
브이,1
엠,1
룰,2
라,2
전,1
기차,1
충전,1
소,1
해외,2
확대,3
실적,6
기대,2
만년,1
평가,2
은행주,3
금리,1
배당,4
삼박자,1
당국,2
불호령,1
동향,2
지방,2
금융,10
지주,4
오름세,1
홀딩,2
하이,1
킥,1
대형,1
호재,1
컴,1
투스,1
폭등,1
랠리,1
분기,3
호,1
후끈,1
공,1
공재,1
압박,1
못,1
은행,6
급락,1
급등,1
어질어질,1
대형주,1
멀미,1
부방,1
자주,1
장점,5
자회사,3
경영,2
효율성,2
향상,2
줄줄이,1
경고장,1
과거,1
활동,1
뱅크,2
기관,2
집중,2
금융권,1
분주,1
관치,1
연말,1
관심,1
배당주,1
포트폴리오,1
변동성,1
기업,1
꼭,1
겨냥,1
목표,3
황,2
현순,1
교체,2
찬바람,1
불면,1
올,1
하나,3
전환,1
저격,1
당한,1
친화,1
노력,1
무색,1
책,1
무상,1
증자,1
한솔,1
모멘텀,1
부족,1
간,1
성장주,1
재평가,1
확신,1
잡음,1
금융사,1
손,1
절,1
수능,1
날,1
개장,1
운용,2
삼성,1
타워,1
이번,1
업,2
우호적,1
향후,1
전망,3
불투명,1
가치,1
제고,2
연,1
사회,1
주의,1
도구,1
안,1
말,2
어느새,1
지하실,1
품질,1
공격적,1
시장,2
일반,1
로,1
지분,2
보유,2
목적,2
변경,2
강화,1
모두,1
작년,2
인,2
평균,2
억대,1
연봉,2
임원,1
가장,1
양호,1
건전,1
수익률,2
불확실,1
대안,1
때,1
회복,1
이익,2
안정성,1
부진,1
예상,1
감소,1
불가,1
피,4
그룹,1
연체,1
증가,1
그대로,1
동원,1
산업,1
기지개,1
자회,1
사의,1
횡재,1
세,1
도입,1
설,2
이유,1
디,1
씨,1
들썩,2
회사,1
통합,1
누적,1
완전,1
편입,1
피난처,1
매력,1
보다,1
투심,3
악화,1
이수,1
시스,1
내년,1
이후,1
고성,1
국,1
감,1
사,1
수장,1
증인,1
채택,1
불발,1
변죽,1
가계,1
빚,1
사고,1
대책,1
종합,1
생명,2
인수,2
포기,1
까닭,1
버스,1
제일,1
파마,1
부각,1
자극,1
벨,1
수수료,2
점검,1
자본,1
잠식,1
유증,1
두고,1
왕,1
종목,3
코스,3
팬,2
오션,3
삼성전자,1
현대,2
인프라,1
코어,1
순위,2
단독,1
새,1
국면,1
신,1
생,1
사모,1
펀드,1
프론트,1
파트,1
참전,1
왜,1
희망적,1
한화,1
솔루션,1
건설,1
등,1
진짜,1
방어주,1
채권,1
유창,1
유진,1
부회장,1
신풍,1
제약,1
지수,1
구성,1
상승률,1
