word,frequency
삼화,1
페인트,1
화색,1
기,1
관은,1
거래일,2
왕성,1
매수,7
제주,2
항공,5
날갯짓,2
국제,1
유가,1
급,1
등락,1
희비,1
애경,2
케미칼,1
윤,1
현주,1
주식,1
대웅,1
훨훨,1
지주사,3
관련주,1
유입,1
주목,1
장,1
일제히,1
상승,1
수능,1
여행,1
수요,1
증가,1
기대감,1
맥스,1
홀,5
방긋,2
외국인,4
대량,3
눈길,1
비츠로테크,2
기세,1
조정,1
엘,1
브이,1
엠,1
룰,2
라,2
전,1
기차,1
충전,1
소,1
해외,1
확대,2
실적,3
개선,1
기대,2
홀딩,2
하이,1
킥,1
대형,1
호재,1
컴,1
투스,1
폭등,1
랠리,1
분기,2
호,1
후끈,1
부방,1
자주,1
장점,5
자회사,3
경영,2
효율성,2
향상,2
산업,2
기대치,1
부합,1
목표,2
주가,2
그대로,1
하나,3
금융,1
지주,2
기관,2
전환,1
비용,1
운임,1
하락,1
우려,1
하향,1
품질,1
공격적,1
시장,1
아시아,2
들썩,3
폭발적,1
별로,1
동원,1
기지개,1
자회,1
사의,1
다,1
홍,1
정인,1
콘,1
텐트,1
리,1
중앙,1
대표,1
이사,1
사장,1
디,1
씨,1
회사,1
통합,1
증권,2
소식,1
국민,1
연금,1
올해,1
누적,1
수익률,1
운용,1
완전,1
편입,1
함박,1
웃음,1
건설,1
경기,1
본격,1
회복,1
오늘,1
화물,1
사업,1
분리,1
매각,1
여부,1
결정,1
두근두근,1
제일,1
파마,1
부각,1
투심,1
자극,1
두고,1
설,1
왕,1
왜,1
희망적,1
