word,frequency
코스,4
피,4
기관,2
외국인,4
사자,1
힘,1
입어,1
회복,2
에코,1
프로,1
삼성전자,1
산로,1
보,1
순,1
매수,2
디,2
티,2
앤,2
불기둥,1
유럽,1
전시회,1
참가,1
현지,1
시장,1
적극,1
공략,1
폭등,1
랠리,1
기,1
관,1
만주,1
이상,1
꿀,1
꺽,1
대웅,1
급등,2
지수,1
구성,1
종목,2
상승률,2
동,1
영상,1
바,4
유가,2
하락,2
호재,1
대,2
마켓,1
뷰,1
사흘,1
연속,1
숨,1
동반,1
특징,3
주,4
강세,1
알,1
리,1
해외,1
성장세,1
영향,1
실적,8
개선,4
기대,3
신고,1
기록,1
원스톱,1
물류,1
경영,1
능력,1
부각,3
시그널,1
키,5
움,5
증권,9
공매도,2
금지,2
후,1
숏,1
커버링,1
효과,1
미,2
중요,1
이후,1
더,4
벨,3
정,1
영,1
균,1
하나,3
부사장,1
피닉스,1
다트,1
사태,1
반,1
꾀,1
제일제당,5
내년,1
전사,1
목표,2
모,1
곡,1
물가,1
포함,1
선행,1
지표,1
우호적,1
식품,1
부문,1
수익성,1
회복세,1
상,1
상인,1
오늘,1
증시,2
리포트,1
와이지,1
엔터테인먼트,1
반영,2
우려,1
이미,1
최악,1
기점,1
반등,1
신한,1
국민,7
연금,7
주주권,6
행사,4
칼,2
카카오,6
정조준,2
로지,1
벌떡,1
영업,2
이익,2
상위,1
톤,1
껑충,1
사주,3
분석,1
자,2
취득,1
그룹,2
분기,4
물동량,2
전망,2
약세,1
미래,1
저,1
평가,1
상태,1
택배,1
성장,2
양호,1
물량,1
관건,1
대신,1
줄줄이,1
경고장,1
과거,1
활동,1
베,1
셀,1
왜,1
미국,1
하원,1
추진,1
중인,1
법안,1
촉각,1
증가,1
부진,1
연말,1
임원,1
인사,1
준비,1
이재,1
경영진,1
대규모,2
물갈이,1
가능성,1
소식,1
수능,1
날,1
개장,1
운용,1
삼성,2
타워,1
매입,1
이번,1
확대,1
주주,1
가치,1
제고,1
연,1
금,1
사회,1
주의,1
도구,1
안,1
매,1
까닭,1
말,1
금융,1
김,1
남,1
선,1
네이버,1
소각,1
주가,1
부양,1
스타트,1
롯데,1
글로벌,1
업계,1
통운,1
몸값,1
주관,1
사,1
고민,1
한,1
지분,1
보유,1
목적,1
변경,1
강화,1
스마트,1
레이더,1
시스템,1
비틀,2
팔,2
전쟁,2
격화,2
론,1
주식,1
저가,1
전략,1
유효,1
이스라엘,1
레,1
스타,1
