word,frequency
부실,2
증권사,1
줄줄이,2
실적,10
부진,2
이번,1
증권,8
내리막,1
유,1
적어도,1
올리브,2
영,3
순항,1
독점,1
과징금,2
우려,1
예상,1
적,1
지도,1
목표,12
눈높이,1
상향,1
증권가,1
불확실,1
여전,1
조주,1
전자,1
대표,1
이사,1
사장,1
현대,1
차,1
미래,4
셋,4
분기,3
쇼크,1
주식,3
중립,1
의견,2
하향,5
해외,2
부동산,1
포,1
상,1
승,1
여력,1
투자,2
자산,1
손상,1
차손,1
인식,1
본격화,1
유지,1
더,2
벨,1
사주,2
분석,1
자,1
취득,1
그룹,2
연말,1
임원,1
인사,1
준비,1
이재,1
경영진,2
대규모,1
물갈이,1
가능성,1
진,1
정상화,2
메리,1
주가,3
유상,2
증자,2
후,1
유통,2
수,3
증가,1
코로나,2
이전,2
회복,8
수익성,1
개선,3
급증,1
대신,5
영업,1
이익,2
근접,1
중국,1
긍정적,1
극장,6
평가,1
클릭,2
종목,2
팬,1
데,1
영향,1
극복,1
역대,2
최고,3
기록,1
오늘,1
증시,1
리포트,1
사실상,1
달성,1
현물,2
출자,2
제동,1
키,1
예,1
마르스,1
영구,1
채,1
차환,1
성사,1
올해,1
반,2
토막,2
타고,1
반등,1
기지개,1
유증,1
고금리,1
지속,1
기업,1
전환,1
사채,1
발행,1
다시,1
영화,1
표,1
특징,1
주,1
테일러,1
스위프트,1
단독,1
개봉,1
기대,1
원,1
소폭,1
상승,1
스코어,2
천천히,3
재무,2
구조,2
진행,2
내년,1
전망,1
관객,1
매출,1
수준,1
세대,1
교체,1
전진,1
배치,1
