word,frequency
아이티,1
상승,1
랠리,2
외국인,6
거래일,5
대량,4
매수,10
대웅,1
훨훨,1
지주사,3
관련주,1
유입,2
주목,2
맥스,1
홀,5
방긋,3
눈길,3
비철금속,5
시장,4
티,1
플렉스,1
대유,1
플러스,1
포스,5
코,5
엠텍,1
동반,2
웃음,1
비츠로테크,2
기세,1
조정,1
조선,7
내화,7
쑥쑥,1
영업,1
이익,1
실적,3
개선,2
자신감,1
펄펄,1
규모,2
공급,3
계약,4
베스트,1
화승,1
코퍼,1
레이션,1
스텔스,1
물질,1
개발,1
소식,2
주간,1
엘,1
브이,1
엠,3
룰,2
라,2
전,2
기차,2
충전,1
소,1
해외,1
확대,2
기대,1
체결,3
이틀,1
상한가,5
종목,1
액,1
토,1
소프트,1
에이디,1
코리아,1
마감,1
급등,1
락,1
주,2
보기,1
홀딩,2
장,2
특징,1
선,3
화려,1
반등,1
코스,1
피,1
기관,2
순,1
속,1
강세,1
코스닥,1
내림세,1
하이,1
킥,1
대형,1
호재,1
삼보,2
산업,3
두둥실,1
컴,1
투스,1
폭등,1
분기,1
호,1
후끈,2
대호,1
연속,1
쉼,1
매,1
수행,1
부방,1
자주,1
장점,5
자회사,2
경영,2
효율성,2
향상,2
삼아,1
알미늄,1
파,1
세,1
매수세,1
꾸준히,1
알,1
기지개,2
배터리,1
모듈,1
케이스,1
사업,1
확장,1
금융,1
지주,2
전환,1
대양,2
금속,2
품질,1
공격적,1
신바람,1
기,1
관,1
폭발적,1
동원,1
자회,1
사의,1
다,1
디,2
씨,1
들썩,2
회사,1
통합,1
화색,1
너무,1
많이,1
하락,1
바닥,1
꿈틀,1
수요,1
증가,1
눈,1
휘파람,1
가장,1
중요,1
사용,1
용도,1
제일,1
파마,1
부각,1
투심,1
자극,1
두고,1
설,1
왕,1
왜,1
희망적,1
