word,frequency
공매도,2
수급,1
마비,1
선물,1
평가,1
비상,1
증권,4
소식,3
연속,1
대,5
유지,2
올해,1
새내기,1
주,4
절반,1
공모,1
아래,1
에코,2
프로,2
머,2
티,2
리얼,1
무한,1
성장력,1
편의점,4
이,1
코스,4
피,4
대웅,1
급등,2
지수,16
구성,2
종목,5
상승률,3
상위,1
넷,1
마블,1
한화,4
오션,2
솔루션,1
강세,4
금감원,1
특사,1
경,1
카카오,2
김,1
범수,1
홍,1
은택,1
기소,1
의견,1
검찰,1
송치,1
국민,1
연금,1
금융,1
지주,1
양,1
회장,1
선임,1
안건,1
찬성,1
금양,17
포스,15
코,15
편입,14
최대,2
유입,2
외국인,2
삼성전자,1
하이닉스,1
셀,1
트리,1
온,1
순,1
매수,2
한국,10
주가,5
지지부진,1
리,4
전망,2
결정적,1
이유,1
신규,5
효과,1
특징,3
최,1
게임,1
팬,1
롯데,1
에너지,1
편,2
출입,1
상승,2
새,1
신한,1
투자,3
방향성,1
영향,1
선,1
반영,1
고려,1
입성,1
자금,1
단기,1
반등,1
모멘텀,1
제한,1
호흡,2
삼성,2
식품,1
매출,1
성장,2
주춤,2
목표,6
하향,2
내수,1
부진,1
지속,2
환경,2
안,1
실적,6
키,2
움,2
낮,1
아진,1
눈높이,1
부합,2
접근,1
역대,2
최저,2
밸류,2
오늘,1
증시,1
리포트,1
노,1
분기,2
사상,1
대비,1
수요,1
양호,1
소비자,1
가격,1
민감도,1
성장세,1
영업,1
안정적,1
배당금,1
기대,1
클릭,1
추가,2
하락,2
가능성,2
경쟁력,1
여전,1
예상치,1
수제,1
맥주,1
열풍,1
회사,1
주식,1
쪽박,1
개미,1
비명,1
하나,1
아마,1
존,1
호,1
광,1
군,1
절,1
아모레,1
주목,2
더,1
벨,1
산맥,1
주주,1
친화,1
정책,1
홀딩,1
현대,1
바이오,1
왕성,1
식욕,1
기,1
관은,1
파마,1
리서치,1
테,2
오,1
눈,1
독,1
환호성,1
시장,1
금리,1
전쟁,1
외풍,1
식,1
음료,1
불법,1
주의보,1
