word,frequency
공매도,2
수급,1
마비,1
선물,1
평가,1
비상,1
증권,3
소식,3
연속,1
대,5
유지,2
올해,1
새내기,1
주,4
절반,1
공모,1
아래,1
에코,3
프로,3
머,3
티,5
리얼,3
무한,1
성장력,1
편의점,4
이,1
잘못,1
개,1
미들,1
한탄,1
회사,3
상,1
장날,1
일,1
돈,1
앤,2
톡,1
코스,4
피,4
대웅,2
급등,3
지수,16
구성,2
종목,5
상승률,3
훨훨,1
지주사,3
관련주,1
매수,7
유입,3
주목,3
이격도,1
과열,1
상승,4
에스,1
폴리텍,1
엠,2
솔루션,2
협진,1
디,2
씨알,1
코머,1
장,1
초반,1
탓,1
상위,1
넷,1
마블,1
한화,3
오션,2
강세,4
금감원,1
특사,1
경,1
카카오,2
김,1
범수,1
홍,1
은택,1
기소,1
의견,1
검찰,1
송치,1
국민,1
연금,1
금융,2
지주,3
양,1
회장,1
선임,1
안건,1
찬성,1
금양,17
포스,15
코,15
편입,14
최대,2
외국인,5
삼성전자,1
하이닉스,1
셀,1
트리,1
온,1
순,1
한국,10
주가,5
지지부진,1
리,17
전망,2
결정적,1
이유,1
신규,5
맥스,1
홀,6
방긋,2
거래일,1
대량,3
눈길,1
효과,1
특징,3
최,1
게임,1
팬,1
롯데,1
에너지,1
편,2
출입,1
새,1
신한,1
투자,3
방향성,1
영향,1
선,1
반영,1
고려,1
입성,1
자금,1
비츠로테크,2
기세,1
조정,1
엘,1
브이,1
룰,2
라,2
전,1
기차,1
충전,1
소,1
해외,1
확대,2
실적,8
개선,2
기대,2
홀딩,2
하이,1
킥,1
대형,1
호재,1
컴,1
투스,1
폭등,1
랠리,2
분기,3
호,2
후끈,1
부방,1
자주,1
장점,5
자회사,2
경영,2
효율성,2
향상,2
기관,1
전환,1
단기,1
반등,1
모멘텀,1
제한,1
호흡,2
삼성,2
식품,1
매출,1
성장,1
주춤,2
목표,6
하향,2
내수,1
부진,1
지속,1
화증,2
낮,2
아진,2
눈높이,2
부합,3
접근,1
역대,2
최저,2
밸류,2
오늘,1
증시,1
리포트,1
노,1
사상,1
대비,1
수요,1
양호,1
소비자,1
가격,1
민감도,1
성장세,1
클릭,1
추가,2
하락,2
가능성,2
영업,1
환경,1
안정적,1
배당금,1
키,1
움,1
경쟁력,1
여전,1
예상치,1
춤,1
품질,1
공격적,1
시장,2
동원,1
산업,1
기지개,1
자회,1
사의,1
다,1
수제,1
맥주,1
열풍,1
주식,1
쪽박,1
개미,1
비명,1
씨,1
들썩,2
통합,1
하나,1
아마,1
존,1
광,1
군,1
절,1
아모레,1
더,1
벨,1
산맥,1
주주,1
친화,1
정책,1
일지,1
테크,1
연비,1
경량,1
방법,1
현대,1
바이오,1
왕성,1
식욕,1
기,1
관은,1
파마,2
리서치,1
테,2
오,1
눈,1
독,1
제일,1
부각,1
투심,1
자극,1
환호성,1
두고,1
설,1
왕,1
금리,1
전쟁,1
외풍,1
식,1
음료,1
불법,1
주의보,1
왜,1
희망적,1
