company_name,title,date,link
BGF,"같은 편의점株, 다른 주가...'이것'이 갈랐다",23시간 전,http://news.mt.co.kr/mtview.php?no=2023111709483748861
BGF,GS리테일엔 있고 BGF엔 없다…주가전망 엇갈린 결정적 이유,4일 전,https://www.mk.co.kr/article/10875744
BGF,MSCI 한국지수 편·출입 종목 주가 엇갈려…금양 4%대 '상승',5일 전,https://www.hankyung.com/article/2023111575716
BGF,"""앗! 잘못 샀어요"" 개미들 한탄…'이 회사' 상장날 무슨 일이 [돈앤톡]",2일 전,https://www.hankyung.com/article/2023111752316
BGF,BGF에코머티리얼즈 장 초반 급등…에코프로머티리얼즈 탓?,3일 전,http://news.mt.co.kr/mtview.php?no=2023111709555920543
BGF,"삼성證 “BGF리테일, 식품 매출 성장 주춤… 목표주가 하향”",2주 전,https://biz.chosun.com/stock/stock_general/2023/11/03/KFXDISU4PFEJPK5KD5UJOERSEM/?utm_source=naver&utm_medium=original&utm_campaign=biz
BGF,"BGF리테일, 환경은 안 좋아도 실적 성장 지속될 것 -키움",2주 전,http://www.fnnews.com/news/202311030841265937
BGF,대웅 주가 훨훨...지주사 관련주 매수 유입 주목,2일 전,https://www.pinpointnews.co.kr/news/articleView.html?idxno=227647
BGF,"[클릭 e종목]""BGF리테일, 추가 주가 하락 가능성은 낮아…역대 최저 밸류에이션""",2주 전,https://view.asiae.co.kr/article/2023110308022803432
BGF,"한화투자 “BGF리테일 주가 단기 반등 모멘텀 제한적, 긴 호흡으로 지켜봐야”",2주 전,https://www.businesspost.co.kr/BP?command=article_view&num=331960
BGF,휴맥스홀딩스 주가 방긋...외국인은 10거래일 대량매수 '눈길',5일 전,https://www.pinpointnews.co.kr/news/articleView.html?idxno=227235
BGF,"BGF리테일, 3분기 실적 예상치 부합에 목표주가 유지",2주 전,http://www.g-enews.com/ko-kr/news/article/news_all/2023110223020321550647a96443_1/article.html
BGF,"비츠로테크 주가 기세등등...""충분한 조정 거쳤다""",7일 전,https://www.pinpointnews.co.kr/news/articleView.html?idxno=226765
BGF,"BGF리테일, 긴 호흡에서 매수 접근해야…목표가 하향-DB",2주 전,http://news.mt.co.kr/mtview.php?no=2023110308312125800
BGF,"“BFG리테일, 내수 부진 지속…목표주가↓”",2주 전,https://www.sedaily.com/NewsView/29X3BA8YMN
BGF,CR홀딩스 주가 거침없는 하이킥...무슨 대형 호재 있나?,1주 전,https://www.pinpointnews.co.kr/news/articleView.html?idxno=226150
BGF,컴투스홀딩스 주가 폭등랠리...3분기 호실적에 매수 후끈,1주 전,https://www.pinpointnews.co.kr/news/articleView.html?idxno=225996
BGF,엘브이엠씨홀딩스 주가 룰루랄라~...전기차 충전소 해외로 확대 실적개선 기대,1주 전,https://www.pinpointnews.co.kr/news/articleView.html?idxno=226453
BGF,부방 주가 룰루랄라~...자주사 장점은? 자회사 경영 효율성 향상,1주 전,https://www.pinpointnews.co.kr/news/articleView.html?idxno=225772
BGF,하나금융지주 주가 방긋...외국인과 기관 대량매수로 전환,2주 전,https://www.pinpointnews.co.kr/news/articleView.html?idxno=225363
BGF,동원산업 주가 기지개...자회사의 장점 들여다 보니,2주 전,https://www.pinpointnews.co.kr/news/articleView.html?idxno=224511
BGF,"[더벨][Peer Match Up/GS리테일 vs BGF리테일]편의점 양대산맥, 주주친화 정책은",3주 전,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202310261446211200101767
BGF,이건홀딩스 주가 춤을 춘다...높은 품질 내세워 공격적 시장 확대,2주 전,https://www.pinpointnews.co.kr/news/articleView.html?idxno=224795
BGF,디와이씨 주가 들썩...지주회사 장점은? 자회사 경영 통합 효율성 향상,2주 전,https://www.pinpointnews.co.kr/news/articleView.html?idxno=224298
BGF,GS리테일 주가 환호성...편의점 시장 주목,3주 전,https://www.pinpointnews.co.kr/news/articleView.html?idxno=223397
BGF,일지테크 주가 상승랠리 뚜렷...연비개선 경량화 방법은?,3주 전,https://www.pinpointnews.co.kr/news/articleView.html?idxno=223958
BGF,지주사 장점 두고 설왕설래...휴멕스홀딩스 주가 들썩,3주 전,https://www.pinpointnews.co.kr/news/articleView.html?idxno=223330
BGF,제일파마홀딩스 주가 들썩...지주사 장점 부각에 투심 자극,3주 전,https://www.pinpointnews.co.kr/news/articleView.html?idxno=223598
BGF,비츠로테크 주가 왜 흔들리나...외국인 대량매수는 희망적,3주 전,https://www.pinpointnews.co.kr/news/articleView.html?idxno=223066
BGF,코스피 2.2% 급등…외국인 삼성전자·SK하이닉스·셀트리온 등 순매수,4일 전,http://www.topstarnews.net/news/articleView.html?idxno=15423393
