company_name,title,date,link
Imperial Oil Ltd,"Imperial Oil Ltd. stock rises Monday, still underperforms market","Nov. 20, 2023 at 4:32 p.m. ET",https://www.marketwatch.com/data-news/imperial-oil-ltd-stock-rises-monday-still-underperforms-market-a89e974c-1fddd1c68463?mod=mw_quote_news
Imperial Oil Ltd,"Imperial Oil Ltd. stock rises Friday, outperforms market","Nov. 17, 2023 at 4:33 p.m. ET",https://www.marketwatch.com/data-news/imperial-oil-ltd-stock-rises-friday-outperforms-market-1dd7512c-67ce737f4974?mod=mw_quote_news
Imperial Oil Ltd,"Imperial Oil Ltd. stock falls Thursday, underperforms market","Nov. 16, 2023 at 4:32 p.m. ET",https://www.marketwatch.com/data-news/imperial-oil-ltd-stock-falls-thursday-underperforms-market-6ad061ba-1d3217d7a5dc?mod=mw_quote_news
Imperial Oil Ltd,"Imperial Oil Ltd. stock falls Wednesday, underperforms market","Nov. 15, 2023 at 4:32 p.m. ET",https://www.marketwatch.com/data-news/imperial-oil-ltd-stock-falls-wednesday-underperforms-market-f3d93000-ebfddbb4ad96?mod=mw_quote_news
Imperial Oil Ltd,"Imperial Oil Ltd. stock falls Tuesday, underperforms market","Nov. 14, 2023 at 4:33 p.m. ET",https://www.marketwatch.com/data-news/imperial-oil-ltd-stock-falls-tuesday-underperforms-market-84de0096-9da97357b3e1?mod=mw_quote_news
Imperial Oil Ltd,Imperial Oil Plans Substantial Issuer Bid to Buy Up to C$1.5B of Its Shares,"Oct. 27, 2023 at 8:20 a.m. ET",https://www.marketwatch.com/story/imperial-oil-plans-substantial-issuer-bid-to-buy-up-to-c-1-5b-of-its-shares-568d30d9?mod=mw_quote_news
Imperial Oil Ltd,"Chevron stock is now a relative sell after too much outperformance, analyst says","Mar. 13, 2022 at 10:10 a.m. ET",https://www.marketwatch.com/story/chevron-stock-is-now-a-relative-sell-after-too-much-outperformance-analyst-says-11647008848?mod=mw_quote_news
Imperial Oil Ltd,Buybacks Could Lift Big Oil Stocks. Investors May Have to Wait.,"Jul. 27, 2021 at 11:20 a.m. ET",https://www.marketwatch.com/articles/buybacks-could-lift-big-oil-stocks-investors-may-have-to-wait-51627399251?mod=mw_quote_news
Imperial Oil Ltd,Cisco strikes £543 million deal for IMImobile,"Dec. 7, 2020 at 3:59 a.m. ET",https://www.marketwatch.com/story/cisco-strikes-543-million-deal-for-imimobile-2020-12-07?mod=mw_quote_news
Imperial Oil Ltd,"Norway oil fund dumps Anglo American, Glencore","Nov. 2, 2020 at 7:27 a.m. ET",https://www.marketwatch.com/story/norway-oil-fund-dumps-anglo-american-glencore-2020-05-13?mod=mw_quote_news
Imperial Oil Ltd,"Imperial Oil CEO Rich Kruger to retire at year end, after nearly 7 years in the role","May. 13, 2020 at 2:34 a.m. ET",https://www.marketwatch.com/story/imperial-oil-ceo-rich-kruger-to-retire-at-year-end-after-nearly-7-years-in-the-role-2019-09-17?mod=mw_quote_news
Imperial Oil Ltd,Canadian oil is at smallest discount to U.S. in a decade as output cuts pay off,"Sep. 17, 2019 at 8:32 a.m. ET",https://www.marketwatch.com/story/canadian-oil-is-at-smallest-discount-to-us-in-a-decade-as-output-cuts-pay-off-2019-01-17?mod=mw_quote_news
Imperial Oil Ltd,"Goldman Sachs picks its favorites among major oil companies, refiners","Sep. 17, 2019 at 8:02 a.m. ET",https://www.marketwatch.com/story/goldman-sachs-picks-its-favorites-among-major-oil-companies-refiners-2017-04-05?mod=mw_quote_news
Imperial Oil Ltd,,"Sep. 17, 2019 at 7:59 a.m. ET",#
Imperial Oil Ltd,,"Jan. 17, 2019 at 9:41 a.m. ET",#
Imperial Oil Ltd,"Marathon (MRO) Q3 Earnings Top as U.S. Output Grows, Cost Falls","Apr. 24, 2018 at 8:43 a.m. ET",https://www.zacks.com/stock/news/2182169/marathon-mro-q3-earnings-top-as-u-s-output-grows-cost-falls?cid=CS-MKTWTCH-HL-analyst_blog|earnings_article-2182169&mod=mw_quote_news
Imperial Oil Ltd,"Analysts Have Conflicting Sentiments on These NA Companies: Paramount Resources (OtherPRMRF), Imperial Oil (IMO) and North American Construction Group (NOA)","Jan. 31, 2018 at 8:10 a.m. ET",https://www.tipranks.com/news/blurbs/analysts-have-conflicting-sentiments-on-these-na-companies-paramount-resources-otherprmrf-imperial-oil-imo-and-north-american-construction-group-noa?mod=mw_quote_news
Imperial Oil Ltd,"Imperial's (IMO) Q3 Earnings Fall Y/Y, Sales Miss Estimates","Nov. 2, 2017 at 7:57 a.m. ET",https://www.zacks.com/stock/news/2177616/imperial-s-imo-q3-earnings-fall-y-y-sales-miss-estimates?cid=CS-MKTWTCH-HL-analyst_blog|earnings_article-2177616&mod=mw_quote_news
Imperial Oil Ltd,"Imperial Oil’s Promising Outlook: Strong Earnings, Operational Performance and Effective Share Buyback Strategy","Sep. 14, 2017 at 7:26 a.m. ET",https://www.tipranks.com/news/blurbs/imperial-oils-promising-outlook-strong-earnings-operational-performance-and-effective-share-buyback-strategy?mod=mw_quote_news
Imperial Oil Ltd,Imperial Oil Ltd (IMO) Announces Q3 2023 Financial Results,"Apr. 7, 2017 at 4:53 p.m. ET",https://www.gurufocus.com/news/2113879/imperial-oil-ltd-imo-announces-q3-2023-financial-results?r=4bf001661e6fdd88d0cd7a5659ff9748&mod=mw_quote_news
Imperial Oil Ltd,Imperial Oil (IMO) Q3 Earnings Top Estimates,"Nov. 10, 2023 at 7:48 a.m. ET",https://www.zacks.com/stock/news/2173633/imperial-oil-imo-q3-earnings-top-estimates?cid=CS-MKTWTCH-HL-tale_of_the_tape|yseop_template_4-2173633&mod=mw_quote_news
Imperial Oil Ltd,"Earnings Scheduled For October 27, 2023","Nov. 2, 2023 at 4:10 p.m. ET",https://www.benzinga.com/news/earnings/23/10/35458491/earnings-scheduled-for-october-27-2023?utm_campaign=partner_feed&utm_source=MarketWatch&utm_medium=partner_feed&utm_content=site&mod=mw_quote_news
Imperial Oil Ltd,Earnings Outlook For Imperial Oil,"Nov. 2, 2023 at 12:29 p.m. ET",https://www.benzinga.com/news/earnings/23/10/35440875/earnings-outlook-for-imperial-oil?utm_campaign=partner_feed&utm_source=MarketWatch&utm_medium=partner_feed&utm_content=site&mod=mw_quote_news
Imperial Oil Ltd,Why Imperial Oil (IMO) Might Surprise This Earnings Season,"Oct. 29, 2023 at 1:19 p.m. ET",https://www.zacks.com/stock/news/2172480/why-imperial-oil-imo-might-surprise-this-earnings-season?cid=CS-MKTWTCH-HL-tale_of_the_tape|earnings_surprise-2172480&mod=mw_quote_news
Imperial Oil Ltd,Earnings Preview: Gibson Energy Inc. (GBNXF) Q3 Earnings Expected to Decline,"Oct. 27, 2023 at 10:01 a.m. ET",https://www.zacks.com/stock/news/2170312/earnings-preview-gibson-energy-inc-gbnxf-q3-earnings-expected-to-decline?cid=CS-MKTWTCH-HL-tale_of_the_tape|yseop_template_9-2170312&mod=mw_quote_news
Imperial Oil Ltd,Imperial Oil (IMO) Expected to Beat Earnings Estimates: What to Know Ahead of Q3 Release,"Oct. 27, 2023 at 9:15 a.m. ET",https://www.zacks.com/stock/news/2169685/imperial-oil-imo-expected-to-beat-earnings-estimates-what-to-know-ahead-of-q3-release?cid=CS-MKTWTCH-HL-tale_of_the_tape|yseop_template_9-2169685&mod=mw_quote_news
Imperial Oil Ltd,National Bank Remains a Hold on Imperial Oil (IMO),"Oct. 27, 2023 at 4:33 a.m. ET",https://www.tipranks.com/news/blurbs/national-bank-remains-a-hold-on-imperial-oil-imo?mod=mw_quote_news
Imperial Oil Ltd,RBC Capital Reaffirms Their Hold Rating on Imperial Oil (IMO),"Oct. 26, 2023 at 10:01 a.m. ET",https://www.tipranks.com/news/blurbs/rbc-capital-reaffirms-their-hold-rating-on-imperial-oil-imo?mod=mw_quote_news
Imperial Oil Ltd,Imperial Oil (IMO)'s True Worth: A Complete Analysis of Its Market Value,"Oct. 26, 2023 at 8:36 a.m. ET",https://www.gurufocus.com/news/2101907/imperial-oil-imos-true-worth-a-complete-analysis-of-its-market-value?r=4bf001661e6fdd88d0cd7a5659ff9748&mod=mw_quote_news
Imperial Oil Ltd,Analysts Have Conflicting Sentiments on These NA Companies: Imperial Oil (IMO) and Cenovus Energy (CVE),"Oct. 23, 2023 at 10:00 a.m. ET",https://www.tipranks.com/news/blurbs/analysts-have-conflicting-sentiments-on-these-na-companies-imperial-oil-imo-and-cenovus-energy-cve?mod=mw_quote_news
