company_name,title,date,link
Sprott Physical Gold Trust,Top 5 4th Quarter Trades of OPTIMUM INVESTMENT ADVISORS,"Oct. 17, 2022 at 5:00 p.m. ET",https://www.gurufocus.com/news/1922080/top-5-4th-quarter-trades-of-optimum-investment-advisors/?r=4bf001661e6fdd88d0cd7a5659ff9748&mod=mw_quote_news
Sprott Physical Gold Trust,Top 5 3rd Quarter Trades of OPTIMUM INVESTMENT ADVISORS,"Oct. 13, 2022 at 1:00 p.m. ET",https://www.gurufocus.com/news/1876639/top-5-3rd-quarter-trades-of-optimum-investment-advisors/?r=4bf001661e6fdd88d0cd7a5659ff9748&mod=mw_quote_news
Sprott Physical Gold Trust,"OTA Financial Group L.P. Buys 3, Sells 2 in 3rd Quarter","Aug. 1, 2022 at 1:00 p.m. ET",https://www.gurufocus.com/news/1871133/ota-financial-group-lp-buys-3-sells-2-in-3rd-quarter/?r=4bf001661e6fdd88d0cd7a5659ff9748&mod=mw_quote_news
Sprott Physical Gold Trust,"Red Door Wealth Management, LLC Buys 4, Sells 1 in 3rd Quarter","Jul. 27, 2022 at 9:00 a.m. ET",https://www.gurufocus.com/news/1869139/red-door-wealth-management-llc-buys-4-sells-1-in-3rd-quarter/?r=4bf001661e6fdd88d0cd7a5659ff9748&mod=mw_quote_news
Sprott Physical Gold Trust,Top 5 2nd Quarter Trades of Monaco Asset Management SAM,"Jul. 7, 2022 at 9:00 a.m. ET",https://www.gurufocus.com/news/1840012/top-5-2nd-quarter-trades-of-monaco-asset-management-sam/?r=4bf001661e6fdd88d0cd7a5659ff9748&mod=mw_quote_news
Sprott Physical Gold Trust,Top 5 2nd Quarter Trades of K.J. Harrison & Partners Inc,"Feb. 17, 2022 at 1:38 p.m. ET",https://www.gurufocus.com/news/1836522/top-5-2nd-quarter-trades-of-kj-harrison--partners-inc/?r=4bf001661e6fdd88d0cd7a5659ff9748&mod=mw_quote_news
Sprott Physical Gold Trust,"Top 5 2nd Quarter Trades of Birch Capital Management, LLC","Feb. 8, 2022 at 1:38 p.m. ET",https://www.gurufocus.com/news/1808617/top-5-2nd-quarter-trades-of-birch-capital-management-llc/?r=4bf001661e6fdd88d0cd7a5659ff9748&mod=mw_quote_news
Sprott Physical Gold Trust,"Prio Wealth Limited Partnership Buys Becton, Dickinson and Co, PayPal Holdings Inc, Fastenal ...","Feb. 8, 2022 at 9:38 a.m. ET",https://www.gurufocus.com/news/1646256/prio-wealth-limited-partnership-buys-becton-dickinson-and-co-paypal-holdings-inc-fastenal-co-sells-vanguard-ftse-emerging-markets-etf-northern-trust-corp-paycom-software-inc/?r=4bf001661e6fdd88d0cd7a5659ff9748&mod=mw_quote_news
Sprott Physical Gold Trust,"Quadrant Private Wealth Management, LLC Buys VanEck Gold Miners ETF, The Walt Disney Co, Amgen ...","Feb. 3, 2022 at 8:38 a.m. ET",https://www.gurufocus.com/news/1637488/quadrant-private-wealth-management-llc-buys-vaneck-gold-miners-etf-the-walt-disney-co-amgen-inc-sells-oracle-corp-costco-wholesale-corp-att-inc/?r=4bf001661e6fdd88d0cd7a5659ff9748&mod=mw_quote_news
Sprott Physical Gold Trust,"Clarus Group, Inc. Buys FT Cboe Vest Fund of Buffer ETFs, Coinbase Global Inc, Bank Bradesco ...","Jan. 28, 2022 at 8:38 p.m. ET",https://www.gurufocus.com/news/1637246/clarus-group-inc-buys-ft-cboe-vest-fund-of-buffer-etfs-coinbase-global-inc-bank-bradesco-sa-sells-helmerich--payne-inc-eog-resources-inc-sprott-physical-gold-trust/?r=4bf001661e6fdd88d0cd7a5659ff9748&mod=mw_quote_news
