Date,Open,High,Low,Close,Adj Close,Volume
2021-12-09,81.160004,89.5,80.260002,85.190002,85.190002,12946400
2021-12-10,84.580002,90.739998,84.0,85.699997,85.699997,2651300
2021-12-13,86.0,88.879997,84.5,85.989998,85.989998,1493700
2021-12-14,84.199997,87.489998,83.080002,84.010002,84.010002,1173200
2021-12-15,83.754997,85.940002,82.565002,84.919998,84.919998,1909600
2021-12-16,84.720001,85.379997,81.610001,82.0,82.0,497600
2021-12-17,80.720001,82.449997,79.271004,80.889999,80.889999,940200
2021-12-20,80.0,81.07,79.360001,80.0,80.0,404600
2021-12-21,80.580002,85.160004,80.519997,84.970001,84.970001,485900
2021-12-22,83.809998,88.587997,83.389999,85.870003,85.870003,578300
2021-12-23,86.279999,90.790001,85.870003,89.82,89.82,386100
2021-12-27,90.0,102.949997,89.845001,97.599998,97.599998,901300
2021-12-28,98.050003,99.629997,91.370003,93.18,93.18,316300
2021-12-29,93.519997,94.699997,88.419998,89.830002,89.830002,279200
2021-12-30,89.849998,93.440002,89.690002,90.540001,90.540001,246600
2021-12-31,91.0,93.5,88.800003,91.040001,91.040001,470300
2022-01-03,91.5,92.730003,83.349998,84.010002,84.010002,634100
2022-01-04,83.690002,84.400002,76.800003,78.830002,78.830002,1288500
2022-01-05,78.0,78.690002,70.864998,72.790001,72.790001,852500
2022-01-06,73.5,78.290001,71.839996,77.75,77.75,1183200
2022-01-07,77.559998,80.290001,71.199997,71.769997,71.769997,896800
2022-01-10,71.5,71.699997,64.510002,70.75,70.75,748600
2022-01-11,70.0,77.959999,68.699997,73.760002,73.760002,1009200
2022-01-12,75.349998,76.75,71.230003,72.269997,72.269997,402500
2022-01-13,72.720001,73.139999,66.800003,66.970001,66.970001,735100
2022-01-14,66.800003,68.529999,63.25,66.690002,66.690002,721800
2022-01-18,66.010002,66.050003,63.312,64.5,64.5,540300
2022-01-19,64.949997,66.245003,62.189999,62.630001,62.630001,473000
2022-01-20,63.080002,68.0,62.950001,62.970001,62.970001,529400
2022-01-21,62.349998,63.759998,56.52,58.93,58.93,846000
2022-01-24,56.82,63.0,45.43,62.080002,62.080002,2873400
2022-01-25,60.009998,60.779999,54.241001,55.509998,55.509998,721400
2022-01-26,59.98,62.759998,57.25,57.880001,57.880001,1392500
2022-01-27,58.099998,60.155998,55.450001,58.650002,58.650002,760200
2022-01-28,59.240002,63.41,57.18,63.009998,63.009998,306700
2022-01-31,63.299999,68.0,63.040001,66.389999,66.389999,330100
2022-02-01,66.57,73.970001,66.089996,71.75,71.75,711400
2022-02-02,71.800003,73.239998,67.559998,68.699997,68.699997,646800
2022-02-03,67.5,70.018997,59.349998,59.950001,59.950001,680400
2022-02-04,59.959999,67.199997,59.240002,64.889999,64.889999,611900
2022-02-07,64.790001,72.919998,64.150002,70.300003,70.300003,499000
2022-02-08,70.0,76.800003,69.120003,76.0,76.0,418800
2022-02-09,77.419998,79.394997,72.0,77.970001,77.970001,552500
2022-02-10,75.870003,83.120003,75.010002,76.669998,76.669998,859800
2022-02-11,76.0,78.989998,67.900002,69.529999,69.529999,652700
2022-02-14,69.019997,70.720001,66.339996,68.150002,68.150002,424000
2022-02-15,69.510002,70.759003,64.769997,69.75,69.75,619000
2022-02-16,68.580002,69.690002,64.860001,66.059998,66.059998,367000
2022-02-17,64.230003,66.019997,56.171001,58.509998,58.509998,784300
2022-02-18,60.926998,60.926998,51.491001,54.41,54.41,955900
2022-02-22,54.32,56.244999,52.799999,53.68,53.68,621400
2022-02-23,54.389999,54.84,48.290001,48.889999,48.889999,477000
2022-02-24,47.75,53.75,47.400002,53.5,53.5,1414300
2022-02-25,53.490002,54.799999,49.880001,50.900002,50.900002,581500
2022-02-28,50.549999,51.549999,48.110001,50.389999,50.389999,960400
2022-03-01,50.150002,53.34,48.73,49.0,49.0,715300
2022-03-02,49.450001,51.080002,44.5,49.299999,49.299999,753100
2022-03-03,49.310001,49.345001,43.200001,44.990002,44.990002,1144500
2022-03-04,44.43,45.639999,41.650002,42.009998,42.009998,670400
2022-03-07,42.610001,43.73,37.154999,37.490002,37.490002,1602000
2022-03-08,37.16,41.330002,34.470001,38.959999,38.959999,1714000
2022-03-09,40.779999,43.43,40.779999,42.25,42.25,915300
2022-03-10,40.950001,41.985001,36.41,37.740002,37.740002,1200200
2022-03-11,38.709999,43.0,32.900002,33.560001,33.560001,3571900
2022-03-14,33.540001,35.650002,31.360001,32.450001,32.450001,2489700
2022-03-15,33.09,35.310001,32.349998,33.790001,33.790001,1172200
2022-03-16,34.939999,42.439999,34.744999,41.16,41.16,1905800
2022-03-17,40.34,44.470001,39.139999,44.200001,44.200001,1433100
2022-03-18,43.560001,47.369999,42.860001,46.799999,46.799999,2031500
2022-03-21,46.290001,50.709999,46.009998,48.439999,48.439999,2053100
2022-03-22,48.310001,53.759998,46.91,50.360001,50.360001,1212000
2022-03-23,49.43,51.669998,48.299999,50.689999,50.689999,766300
2022-03-24,50.849998,54.529999,48.720001,54.299999,54.299999,912500
2022-03-25,54.25,54.43,49.98,51.299999,51.299999,1469000
2022-03-28,50.209999,53.799999,48.91,53.099998,53.099998,891700
2022-03-29,54.200001,57.369999,52.139999,56.959999,56.959999,700800
2022-03-30,56.0,58.0,53.18,55.32,55.32,1317800
2022-03-31,55.560001,56.709999,52.360001,54.0,54.0,1814100
2022-04-01,54.27,56.325001,52.549999,54.0,54.0,1672000
2022-04-04,54.439999,59.16,54.439999,58.02,58.02,985100
2022-04-05,57.619999,58.91,55.52,58.139999,58.139999,1783400
2022-04-06,56.400002,57.919998,50.290001,53.849998,53.849998,2805800
2022-04-07,53.23,55.68,52.0,53.639999,53.639999,1411500
2022-04-08,53.080002,53.759998,50.009998,50.860001,50.860001,1319600
2022-04-11,50.0,54.669998,48.356998,53.799999,53.799999,967200
2022-04-12,54.189999,58.34,52.34,54.290001,54.290001,1279900
2022-04-13,54.07,60.029999,52.599998,58.220001,58.220001,1034200
2022-04-14,58.119999,58.119999,55.049999,56.07,56.07,821900
2022-04-18,55.0,55.490002,51.369999,53.150002,53.150002,1193200
2022-04-19,52.529999,58.279999,52.360001,57.68,57.68,774100
2022-04-20,57.130001,58.081001,54.459999,56.599998,56.599998,721800
2022-04-21,57.549999,58.990002,50.299999,50.34,50.34,947200
2022-04-22,50.650002,51.27,44.77,45.139999,45.139999,1418800
2022-04-25,44.130001,50.57,44.009998,50.389999,50.389999,1009700
2022-04-26,49.779999,50.5,46.040001,49.759998,49.759998,1152000
2022-04-27,49.970001,53.919998,48.779999,49.130001,49.130001,704600
2022-04-28,49.950001,51.880001,46.169998,50.349998,50.349998,855600
2022-04-29,48.950001,52.689999,45.709999,47.080002,47.080002,844700
2022-05-02,46.66,49.490002,44.68,47.009998,47.009998,1122300
2022-05-03,46.66,50.360001,44.869999,47.68,47.68,821800
2022-05-04,47.59,55.75,43.610001,54.540001,54.540001,1521800
2022-05-05,53.490002,53.490002,44.0,46.330002,46.330002,1795700
2022-05-06,45.259998,45.439999,38.610001,39.0,39.0,2809300
2022-05-09,37.259998,38.869999,32.57,33.389999,33.389999,4183500
2022-05-10,35.43,36.490002,30.57,32.439999,32.439999,2236100
2022-05-11,32.740002,34.25,30.0,32.349998,32.349998,2120600
2022-05-12,31.440001,38.169998,29.26,34.150002,34.150002,2106600
2022-05-13,36.91,43.400002,36.009998,38.490002,38.490002,1472700
2022-05-16,38.41,39.700001,32.189999,34.490002,34.490002,1539800
2022-05-17,35.580002,36.580002,32.605,36.169998,36.169998,1012000
2022-05-18,34.709999,35.900002,31.5,33.619999,33.619999,1099100
2022-05-19,32.720001,37.900002,32.639999,35.580002,35.580002,1142700
2022-05-20,36.27,37.720001,31.51,34.040001,34.040001,1054700
2022-05-23,34.240002,34.900002,31.959999,34.650002,34.650002,1091800
2022-05-24,33.0,33.488998,29.790001,30.959999,30.959999,1821100
2022-05-25,30.42,33.097,30.110001,32.5,32.5,1162000
2022-05-26,32.060001,36.150002,32.0,33.889999,33.889999,1506400
2022-05-27,34.470001,37.09,34.18,36.950001,36.950001,827500
2022-05-31,36.689999,37.099998,33.509998,35.02,35.02,993700
2022-06-01,35.279999,37.41,33.540001,35.610001,35.610001,749300
2022-06-02,34.900002,41.82,34.32,41.27,41.27,2131800
2022-06-03,35.41,35.990002,31.309999,34.0,34.0,4625700
2022-06-06,34.880001,37.174999,31.860001,35.57,35.57,2960700
2022-06-07,33.509998,38.529999,32.82,38.330002,38.330002,3488500
2022-06-08,36.130001,36.639999,32.23,32.759998,32.759998,3895200
2022-06-09,32.810001,33.119999,29.780001,30.15,30.15,3040100
2022-06-10,29.15,30.48,28.01,30.09,30.09,3400200
2022-06-13,28.09,30.74,27.719999,28.02,28.02,2537000
2022-06-14,27.290001,28.5,26.290001,26.950001,26.950001,2261400
2022-06-15,27.41,29.969999,27.01,28.469999,28.469999,1686000
2022-06-16,27.6,27.73,25.51,26.620001,26.620001,1546600
